index,text
D26,"['2022', '12', '19t05', '00', '15', '0082651z', '50', 'get', 'http', 'co', 'biihvd6rft', 'gamergirl', 'videogam', 'gamer', 'game', 'retrogam', 'kanyewest', 'kimkardashian', 'justinbieb']"
D27,"['yes', 'kanyewest', 'pay', 'offic', 'rent', 'howev', 'also', 'move', 'offic', 'sever', 'month', 'ago', 'realli', 'care', 'evict', 'spillinjuic', 'http', 'co', 'nbfqk9f5k5']"
D28,"['masterpmil', 'show', 'kany', 'factori', 'alway', 'product', 'need', 'littl', 'specif', 'style', 'design', 'snoophoopz']"
D29,"['kany', 'v', 'world', 'http', 'co', 'pijiklukiq']"
D30,"['attack', 'yell', 'kany', '2024', 'antisemit', 'assault', 'polic', 'say', 'accord', 'man', '2024', 'kany', 'central', 'york', 'yell', 'nypd', 'adl', 'attack', 'attack', 'say', 'park', 'antisemit', 'hate', 'assault', 'http', 'co', 'vdaxd0yzcu', 'http', 'co', 'u5b7x41yl']"
D31,"['myspacetom', 'elonmusk', 'kany', 'poi', 'take', 'control']"
D32,"['mayb', 'legal', 'drug', 'peopl', 'take', 'american', 'stop', 'die', 'messi𓃵', 'drug', 'fent', 'wigger', 'warondrug', 'waronwomen', 'mbapp', 'worldcupfin', 'addictionrecoveri', 'rehab', 'andrewt', 'elon', 'trump', 'joe', 'britneygrin', 'tiktok', 'viral', 'nfts', 'crypto', 'letsgobrandon', 'kany', 'http', 'co', 'xcpecwgqw8']"
D33,"['soccer', 'bore', 'footbal', 'cool', 'soccer', 'opiat', 'mass', 'socialismoesmiseria', 'usa', 'messi𓃵', 'trumptraitorcard', 'westandwithshiffa', 'weloveayesha', 'poshmark', 'nftgiveaway', 'nftsale', 'priyankit', 'chinaprotest', 'chine', 'podcastandchil', 'magatear', 'kany', 'nickcart', 'topg']"
D34,"['kany', 'right', 'day', 'twitter', 'n', 'see', 'jew', 'jew', 'pretti', 'sure', 'sim', 'religi', 'fuck', 'use', 'scienc', 'n', 'basic', 'medic', 'machin', 'hospit', 'http', 'co', '9glggxosz']"
D35,"['feel', 'like', 'republican', 'go', 'way', 'year', 'say', 'happyhanukkah', 'wonder', 'anyth', 'kany', 'mayb', 'notic', 'kany']"
D36,"['want', 'wish', 'kany', 'happi', 'hanukkah', 'kany', 'hanukkah', 'happyholiday']"
D37,"['arielhelwani', 'wont', 'ever', 'talk', 'apartheid', 'palestin', 'go', 'kany', 'messi', 'abil', 'jewish', 'ppl', 'chang', 'convers', 'antisemit', 'deflect', 'real', 'issu', 'dont', 'chang', 'fact', 'goat𓃵', 'mma', 'ufc', 'muslim', 'name', 'teamkhabib', 'worldcup', 'http', 'co', 'ntdlje4tax', 'http', 'co', '77kx5lhmt6']"
D38,"['keithedward', 'nytim', 'new', 'york', 'time', 'simpli', 'honest', 'u', 'fact', 'antisemit', 'would', 'make', 'kany', 'blush']"
D39,"['want', 'see', 'peopl', 'like', 'kany', 'complet', 'lose', 'mind', 'elonmusk', 'step', 'make', 'jaredkushn', 'ceo', 'twitter', 'togeth', 'recent', 'perhap', 'talk', 'http', 'co', 'u15h5tyizf']"
